Year,Farmers Market,Borough ,Address,Community District,Latitude,Longitude,Days of Operation,Hours of Operations,Season Dates,Accepts EBT,Open Year-Round ,Stellar Cooking Deomonstrations,Food Activities for Kids,,,
2016,Bushwick Farmers' Market at Maria Hernandez Park ,Brooklyn,Knickerbocker Ave & Starr St ,304,40.70281849,-73.9253916,Saturday ,9am-4pm,6/25/2016-11/19/2016,Yes,No,Yes,No,,,
2016,Bushwick Farmers' Market on Broadway,Brooklyn,Halsey St & Broadway,303,40.68576938,-73.91550225,Thursday,2pm-7pm,6/30/2016-11/17/2016,Yes,No,No,No,,,
2016,Carroll Gardens Greenmarket,Brooklyn,Carroll St bet Court & Smith Sts,306,40.68054952,-73.99465464,Sunday,8am-3pm,Year-round,Yes,Yes,No,No,,,
2016,Cortelyou Greenmarket,Brooklyn,Cortelyou Rd bet Argyle & Rugby Rds,314,40.64083294,-73.9653021,Sunday,8am-3pm,Year-round,Yes,Yes,No,No,,,
2016,Cypress Hills Youthmarket,Brooklyn,Fulton & Richmond Sts,305,40.68204661,-73.87786931,Friday,11am-6pm,7/8/2016-11/18/2016,Yes,No,Yes,No,,,
2016,DUMBO Down to Earth Farmers' Market,Brooklyn,Pearl & Water Sts,302,40.70313843,-73.98759106,Wednesday,12pm-7pm,6/8/2016-11/16/2016,Yes,No,No,No,,,
2016,East New York Farm Stand,Brooklyn,New Lots Ave bet Alabama & Georgia Aves,305,40.6611343,-73.89469308,Wednesday,3:30pm-6:30pm,7/6/2016-10/26/2016,Yes,No,No,No,,,
2016,East New York Farmers' Market ,Brooklyn,Schenck Ave bet New Lots & Livonia Aves,305,40.6658587,-73.8866906,Saturday ,9am-3pm,6/25/2016-11/26/2016,Yes,No,Yes,No,,,
2016,Edible Schoolyard NYC's Farm Stand at PS 216 (Sept-Nov only),Brooklyn,Avenue X & East 1st St,315,40.5906565,-73.96929957,Friday,1:45pm-2:45pm,9/9/2016-11/18/2016,Yes,No,No,No,,,
2016,Flatbush Junction Youthmarket,Brooklyn,Nostrand & Flatbush Aves by subway entrance,314,40.63289384,-73.94769921,Saturday,8:30am-3pm,7/9/2016-11/19/2016,Yes,No,No,No,,,
2016,Fort Greene Park Greenmarket,Brooklyn,Washington Park bet DeKalb & Willoughby Aves,302,40.69171508,-73.97354058,Saturday ,8am-4pm,Year-round,Yes,Yes,Yes,No,,,
2016,Graham Avenue Farmers' Market,Brooklyn,Cook St & Graham Ave,301,40.7023534,-73.94238272,Saturday,8am-5pm,7/2/2016-10/29/2016,Yes,No,Yes,No,,,
2016,Grand Army Plaza Greenmarket,Brooklyn,Prospect Park W & Flatbush Ave ,355,40.67242371,-73.9701927,Saturday,8am-4pm,Year-round,Yes,Yes,No,No,,,
2016,Greenpoint McCarren Park Greenmarket,Brooklyn,Union Ave bet Driggs Ave & N 12th St,301,40.71922733,-73.95247994,Saturday,8am-3pm,Year-round,Yes,Yes,No,No,,,
2016,Harvest Home Cityline Farmers' Market,Brooklyn,Drew St bet 101 & Liberty Aves,305,40.67935962,-73.86335192,Saturday,8am-4pm,7/9/2016-11/19/2016,Yes,No,No,No,,,
2016,Harvest Home Clinton Hill Farmers' Market,Brooklyn,Lafayette bet Waverly & Washington Aves,302,40.68821896,-73.96582192,Tuesday,8am-4pm,7/5/2016-11/22/2016,Yes,No,No,No,,,
2016,Harvest Home Coney Island Hospital Farmers' Market,Brooklyn,Ocean Pkwy bet Ave Z & Shore Pkwy,313,40.58656038,-73.96616917,Wednesday & Friday,8am-4pm,6/15/2016-11/25/2016,Yes,No,No,No,,,
2016,Harvest Home Kings County Hospital Farmers' Market,Brooklyn,Clarkson Ave bet E 37th and E 38th Sts,317,40.65583545,-73.94335635,Wednesday,8am-4pm,6/8/2016-11/23/2016,Yes,No,No,No,,,
2016,Harvest Home Marcy Park Farmers' Market,Brooklyn,Myrtle & Marcy Aves,302,40.69538491,-73.94920807,Thursday,8am-4pm,7/7/2016-11/17/2016,Yes,No,No,No,,,
2016,Hattie Carthan After Church Farmers' Market,Brooklyn,49 Van Buren St bet Tompkins & Throop Aves,303,40.6900437,-73.94355807,Sunday,1pm-6pm,8/7/2016-11/20/2016,Yes,No,No,No,,,
2016,Hattie Carthan Community Farmers' Market,Brooklyn,Marcy Ave & Clifton Pl,303,40.68951881,-73.94804063,Saturday,9am-3pm,7/16/2016-11/16/2016,Yes,No,No,No,,,
2016,High School for Public Service Youth Farm Farmers' Market,Brooklyn,600 Kingston Ave bet Rutland Rd & Winthrop St,309,40.65890092,-73.94245989,Wednesday,2:30pm-6:30pm,6/22/2016-10/26/2016,Yes,No,No,No,,,
2016,Isabahlia Farm Stand,Brooklyn,Rockaway & Sutter Aves,316,40.66716393,-73.91009357,Friday,12pm-5pm,7/1/2016-10/28/2016,Yes,No,Yes,No,,,
2016,Isabahlia Farm Stand Winter Market (Nov-Dec only),Brooklyn,"New Lots Ave & Sackman St, inside greenhouse",316,40.65792927,-73.90188848,Saturday,8am-1pm,11/5/2016-12/17/2016,Yes,No,No,No,,,
2016,Isabahlia Farmers' Market,Brooklyn,Livonia Ave bet Powell & Junius Sts,316,40.66366549,-73.90145111,Saturday,8am-4pm,6/25/2016-10/29/2016,Yes,No,Yes,No,,,
2016,Kensington Youthmarket,Brooklyn,Ft. Hamilton Pkwy bet E 4th & E 5th Sts,312,40.64917445,-73.97660258,Saturday,8am-4pm,6/4/2016-11/19/2016,Yes,No,No,No,,,
2016,LIVE Market ,Brooklyn,"Paerdegat Park, E 40th St bet Foster Ave & Farragut Rd",317,40.63920792,-73.93873318,Sunday,9am-3pm,6/5/2016-11/13/2016,Yes,No,No,No,,,
2016,Malcolm X Blvd Farmers' Market,Brooklyn,Malcolm X Blvd bet Marion & Chauncey Sts,303,40.68051375,-73.92857127,Saturday ,8am-3pm,7/9/2016-11/12/2016,Yes,No,No,No,,,
2016,Marcy Plaza Community Farmers' Market,Brooklyn,Fulton St & Marcy Ave,303,40.68013369,-73.9459251,Wednesday,11am-6pm,7/13/2016-11/9/2016,Yes,No,Yes,No,,,
2016,McGolrick Park's Down to Earth Farmers' Market,Brooklyn,"Russel St & Nassau Ave, center of park",301,40.72562454,-73.94449844,Sunday,10am-4pm,4/24/2016-11/20/2016,Yes,No,No,No,,,
2016,Park Slope's Down to Earth Farmers' Market,Brooklyn,5th Ave & 4th St,306,40.67220165,-73.98378638,Wednesday & Sunday,"Wednesday: 3-7pm
Sunday: 10am-5pm","Wednesday: 5/11-11/16
Sunday: Year-round",Yes,Yes,No,No,,,
2016,Parkside Plaza Greenmarket,Brooklyn,Parkside & Ocean Aves,314,40.65489064,-73.96188178,Sunday,8am-4pm,6/12/2016-11/20/2016,Yes,No,Yes,No,,,
2016,Pitkin Verde Farmers' Market,Brooklyn,2094 Pitkin Ave at Pennsylvania Ave,305,40.67198493,-73.89524914,Tuesday,9am-5pm,6/28/2016-11/22/2016,Yes,No,No,No,,,
2016,Project EATS Brooklyn Museum Farm Market,Brooklyn,200 Eastern Parkway,303,40.67190876,-73.96337171,Thursday,10am-4pm,5/20/2016-11/30/2016,Yes,No,No,No,,,
2016,Project EATS Marcus Garvey Village Farm Market,Brooklyn,300 Chester St at Dumont Ave,316,40.66448525,-73.91038554,Tuesday,10am-4pm,5/20/2016-11/30/2016,Yes,No,No,No,,,
2016,Red Hook Farmers' Market,Brooklyn,580 Columbia St,306,40.6722352,-74.01100736,Saturday,8am-3pm,6/18/2016-11/19/2016,Yes,No,No,No,,,
2016,Saratoga Youth Market,Brooklyn,Saratoga Ave & Fulton St,303,40.67858414,-73.91630091,Saturday,10am-2pm,6/18/2016-11/19/2016,Yes,No,No,No,,,
2016,Sunset Park Greenmarket,Brooklyn,4th Ave bet 59th & 60th Sts,307,40.64084493,-74.01843209,Saturday,8am-3pm,7/9/2016-11/19/2016,Yes,No,Yes,No,,,
2016,Urban Oasis Farmers' Market,Brooklyn,Clarkson & Troy Aves,309,40.65624918,-73.93668483,Wednesday,2pm-5:30pm,6/24/2016-11/9/2016,Yes,No,No,No,,,
2016,Williamsburg Greenmarket,Brooklyn,Taylor St & Lee Ave,301,40.70700548,-73.96136506,Thursday ,8am-4pm,7/7/2016-11/17/2016,Yes,No,Yes,No,,,
2016,57th Street Greenmarket,Manhattan,57th St & 9th Ave,104,40.76792538,-73.98571616,Wednesday & Saturday ,8am-5pm,5/18/2016-12/24/2016,Yes,No,No,No,,,
2016,79th Street Greenmarket,Manhattan,Columbus Ave bet 78th & 81st Sts,107,40.78325007,-73.97454056,Sunday,9am-5pm,Year-round,Yes,Yes,No,No,,,
2016,82nd Street Greenmarket,Manhattan,82nd St bet 1st and York Aves ,108,40.77344836,-73.94895357,Saturday,9am-2:30pm,Year-round,Yes,Yes,No,No,,,
2016,92nd Street Greenmarket,Manhattan,92nd St & 1st Ave,108,40.78132447,-73.94613107,Sunday ,9am-4pm,6/26/2016-11/20/2016,Yes,No,No,No,,,
2016,97th Street Greenmarket,Manhattan,97th St bet Columbus & Amsterdam Aves,107,40.79474389,-73.96987361,Friday ,8am-2pm,Year-round,Yes,Yes,Yes,No,,,
2016,125th Street FreshConnect Farmers' Market,Manhattan,125th St & Adam Clayton Powell Jr Blvd,110,40.80898137,-73.94832667,Tuesday,10am-7pm,6/7/2016-11/22/16,Yes,No,Yes,No,,,
2016,175th Street Greenmarket,Manhattan,175th St bet Wadsworth Ave & Broadway,112,40.84595574,-73.93781267,Thursday ,8am-5pm,6/30/2016-11/17/2016,Yes,No,Yes,No,,,
2016,Abingdon Square Greenmarket,Manhattan,12th St & 8th Ave,102,40.73755554,-74.0048296,Saturday ,8am-2pm,Year-round,Yes,Yes,No,No,,,
2016,Bowling Green Greenmarket,Manhattan,Broadway & Battery Pl,101,40.70455726,-74.01429119,Tuesday & Thursday,8am-5pm,Year-round,Yes,Yes,No,No,,,
2016,Broadway French Market,Manhattan,Broadway bet 35th & 36th Sts,105,40.75099661,-73.98774302,"Wednesday, Thursday & Friday ",11am-6pm,5/4/2016-11/23/2016,No,No,No,No,,,
2016,Chelsea's Down to Earth Farmers' Market,Manhattan,23rd Street between 8th and 9th Aves,104,40.74530132,-73.99848932,Saturday,9am-5pm,5/21/2016-12/17/2016,Yes,No,No,No,,,
2016,Chenchita's Community Garden,Manhattan,112th St & Madison Ave,111,40.79745827,-73.94670311,Saturday,9am-3pm,7/9/2016-,Yes,No,No,No,,,
2016,City Hall Greenmarket,Manhattan,Broadway & Chambers St,101,40.71417288,-74.00631047,Tuesday & Friday ,8am-4pm,4/1/2016-12/23/2016,Yes,No,No,No,,,
2016,Columbia University Greenmarket,Manhattan,Broadway bet 114th & 116th Sts,109,40.80801018,-73.96390007,Thursday & Sunday ,8am-5pm,Year-round,Yes,Yes,No,No,,,
2016,Dag Hammarskjold Plaza Greenmarket,Manhattan,47th St & 2nd Ave,106,40.75300739,-73.96988887,Wednesday,8am-4pm,Year-round,Yes,Yes,No,No,,,
2016,El Barrio Youth Marqueta,Manhattan,116th St & Park Ave,111,40.7993148,-73.94323426,Thursday & Saturday,11am-5pm,7/9/2016-11/20/2016,Yes,No,No,No,,,
2016,Fort Washington Greenmarket,Manhattan,168th St & Ft. Washington Ave,112,40.84216213,-73.94227971,Tuesday,8am-4pm,6/7/2016-11/22/2016,Yes,No,No,No,,,
2016,Gouverneur Health Youthmarket,Manhattan,Madison St bet Clinton & Jefferson Sts,103,40.71291247,-73.98692913,Thursday,8:30am-3pm,7/7/2016-11/17/2016,Yes,No,No,No,,,
2016,Grass Roots Farmers' Market,Manhattan,145th St bet Edgecombe & Bradhurst Aves,109,40.82326784,-73.94292478,Tuesday,9am-4pm,7/5/2016-11/29/2016,Yes,No,Yes,No,,,
2016,Hamilton Heights Green Youth Market,Manhattan,Amsterdam between 143rd & 144th Sts,109,40.82394844,-73.94855352,Wednesday,11am-5pm,,Yes,No,No,No,,,
2016,Harvest Home East Harlem Farmers' Market,Manhattan,104th St & 3rd Ave,111,40.79026109,-73.9456363,Thursday,8am-4pm,7/7/2016-11/17/2016,Yes,No,No,No,,,
2016,Harvest Home East River Farmers' market,Manhattan,1st Ave bet 108th & 109th Sts,111,40.79091383,-73.93913168,Sunday,9am-4pm,7/10/2016-11/20/2016,Yes,No,No,No,,,
2016,Harvest Home Harlem Hospital Farmers' Market,Manhattan,506 Lenox Ave between 135th & 137th Sts,110,40.81543807,-73.93997471,Friday,8am-6pm,Year-round,Yes,Yes,No,No,,,
2016,Harvest Home Lenox Ave Farmers' Market,Manhattan,Lenox Ave bet 117th & 118th Sts,110,40.80309427,-73.94897343,Saturday,8am-5pm,6/18/2016-11/19/2016,Yes,No,No,No,,,
2016,Harvest Home Metropolitan Farmers' Market,Manhattan,99th St & 3rd Ave,111,40.78712766,-73.94792473,Friday,8am-4pm,6/10/2016-11/18/2016,Yes,No,No,No,,,
2016,Harvest Home West Harlem Farmers' Market,Manhattan,Broadway bet 137th & 138th Sts,109,40.82138997,-73.95413402,Tuesday,8am-4pm,7/5/2016-11/22/2016,Yes,No,No,No,,,
2016,Inwood Park Greenmarket,Manhattan,Isham St bet Seaman Ave & Cooper St,112,40.86900872,-73.92032044,Saturday ,8am-3pm,Year-round,Yes,Yes,No,No,,,
2016,Lower East Side Youthmarket,Manhattan,Grand Ave bet Pitt & Willet Sts,103,40.71521773,-73.98425929,Thursday,8am-4pm,7/7/2016-11/17/2016,Yes,No,No,No,,,
2016,Morningside Park's Down to Earth Farmers' Market,Manhattan,110th St & Manhattan Ave,107,40.80116343,-73.95964893,Saturday ,9am-5pm,4/23/2016-12/17/2016,Yes,No,No,No,,,
2016,Mount Sinai Hospital Greenmarket,Manhattan,99th St & Madison Ave,111,40.78917731,-73.95274419,Wednesday,8am-5pm,6/29/2016-11/23/2016,Yes,No,No,No,,,
2016,Project EATS Frederick Douglas Houses Farmers' Market,Manhattan,100th St bet Amsterdam and Columbus Aves,107,40.79735361,-73.96798349,Saturday,10am-4pm,5/20/2016-11/30/2016,Yes,No,No,No,,,
2016,Project Harmony People's Market,Manhattan,122nd St bet 7th and 8th Aves,110,40.80824762,-73.95258616,Thursday,1pm-7pm,6/9/2016-10/20/2016,Yes,No,No,No,,,
2016,PS 11 Farm Market,Manhattan,21st St bet 8th and 9th Aves,104,40.74521622,-74.00226784,Wednesday,8am-10am,6/6/2016-11/16/2016,Yes,No,No,No,,,
2016,PS 7 Farm Stand,Manhattan,"119th St & Lexington Ave, in schoolyard",111,40.80056486,-73.94020642,Wednesday,2:15pm-3:30pm,May-June & Sept - Nov,Yes,No,No,No,,,
2016,Rockefeller Center Greenmarket,Manhattan,Rockefeller Plaza at 50th St,105,40.75907246,-73.97845183,"Wednesday, Thursday & Friday",8am-5pm,July-August,No,No,No,No,,,
2016,SoHA Square Farmers' Market,Manhattan,117th St & St Nicholas Ave,110,40.80520462,-73.95481703,Saturday & Sunday,9am-4pm,7/2/2016-11/20/2016,Yes,No,No,No,,,
2016,St. Mark's Church Greenmarket,Manhattan,10th St & 2nd Ave,103,40.72978449,-73.98681036,Tuesday,8am-6pm,6/7/2016-11/22/2016,Yes,No,No,No,,,
2016,Staten Island Ferry Whitehall Terminal Greenmarket,Manhattan,"4 South St, inside terminal",101,40.70164259,-74.01186697,Tuesday & Friday ,8am-7pm,Year-round,Yes,Yes,No,No,,,
2016,Stuyvesant Town Greenmarket,Manhattan,14th St Loop bet 1st Ave & Ave A,103,40.73045054,-73.98034091,Sunday,9:30am-4pm,5/15/2016-12/18/2016,Yes,No,No,No,,,
2016,Sugar Hill Greenmarket,Manhattan,155th St & St Nicholas Ave,109,40.83090012,-73.94136802,Saturday,8am-4pm,6/18/2016-11/19/2016,Yes,No,Yes,No,,,
2016,Tompkins Square Greenmarket,Manhattan,7th St & Ave A,103,40.72606217,-73.98353516,Sunday,9am-6pm,Year-round,Yes,Yes,No,No,,,
2016,Tribeca Greenmarket,Manhattan,Greenwich & Chambers Sts,101,40.7163107,-74.01096775,Wednesday & Saturday ,8am-3pm,"Wed: 4/6/2016-12/21/2016
Sat: Year-round",Yes,Yes,No,No,,,
2016,Tucker Square Greenmarket,Manhattan,66th St & Columbus Ave,107,40.77360915,-73.98157377,Thursday & Saturday,8am-5pm,Year-round,Yes,Yes,No,No,,,
2016,Union Square Greenmarket,Manhattan,17th St & Broadway,105,40.73714078,-73.99033077,"Monday, Wednesday, Friday & Saturday",8am-6pm,Year-round,Yes,Yes,No,No,,,
2016,Water Street Greenmarket,Manhattan,Water Street & Coenties Slip,101,40.70327588,-74.01034887,Thursday,8am-6pm,6/2/2016-11/17/2016,Yes,No,No,No,,,
2016,Astoria Greenmarket,Queens,14th St bet 31st Ave & 31st Rd,401,40.76826578,-73.93202594,Wednesday,8am-3pm,7/6/2016-11/16/2016,Yes,No,No,No,,,
2016,Corona Greenmarket,Queens,Roosevelt Ave & 103rd St,404,40.74987737,-73.86272726,Friday,8am-3pm,7/8/2016-11/18/2016,Yes,No,Yes,No,,,
2016,Culinary Kids Farm Rockaway,Queens,444 Beach 58th St & Beach Channel Dr,409,40.59450005,-73.78807882,Saturday & Sunday,10am-4pm,7/9/2016-11/26/2016,Yes,No,No,No,,,
2016,Culinary Kids Farmers' Market (July - Sept only),Queens,30-15 Seagirt Blvd,414,40.59596389,-73.76321033,Saturday,10am-3pm,7/9/2016-9/24/2016,Yes,No,No,No,,,
2016,Ditmars Park Youthmarket,Queens,Steinway St bet Ditmars Blvd & 23rd Ave,401,40.77286145,-73.90606247,Saturday,9am-4pm,7/9/2016-11/19/2016,Yes,No,No,No,,,
2016,Elmhurst Hospital Greenmarket,Queens,41st Ave bet 80th & 81st Sts,404,40.74589948,-73.88456233,Tuesday,8am-4pm,6/7/2016-11/22/2016,Yes,No,No,No,,,
2016,Far Rockaway Youth Market,Queens,Beach 45th St & Beach Channel Dr ,414,40.59562006,-73.77655262,Saturday,10am-2pm,6/18/2016-11/19/2016,Yes,No,No,No,,,
2016,Forest Hills Greenmarket,Queens,Queens Blvd & 70th Ave,406,40.72188853,-73.84638618,Sunday,8am-3pm,Year-round,Yes,Yes,No,No,,,
2016,Harvest Home Rochdale Mall Farmers' Market,Queens,Baisley Blvd bet Guy R Brewer & Bedell St,412,40.67837307,-73.77948046,Saturday,8am-4pm,7/9/2016-11/19/2016,Yes,No,No,No,,,
2016,Jackson Heights Greenmarket,Queens,34th Ave & 78th St,403,40.75334737,-73.88875792,Sunday,8am-3pm,Year-round,Yes,Yes,Yes,No,,,
2016,Jamaica's Down to Earth Farmers' Market - Friday market,Queens,Parsons Blvd bet Jamaica and Archer Aves,412,40.70248213,-73.79992225,Friday,8:30am-4pm,6/17/2016-11/19/2016,Yes,No,No,No,,,
2016,Jamaica's Down to Earth Farmers' Market - Saturday market,Queens,160th St & Jamaica Ave,412,40.70375985,-73.7991502,Saturday,8:30am-4pm,6/17/2016-11/19/2016,Yes,No,No,No,,,
2016,Pomonok Community-Run Farmers' Market,Queens,67-09 Kissena Blvd,408,40.73504052,-73.81466206,Wednesday,9am-6pm,6/15/2016-11/23/2016,Yes,No,No,No,,,
2016,Queens Botanical Garden's Down to Earth Farmers' Market,Queens,Dahlia Ave at Main St ,407,40.75186765,-73.82636341,Friday,8:30am-4pm,6/17/2016-11/18/2016,Yes,No,No,No,,,
2016,Queens Hospital Center Farmers' Market,Queens,"82-68 164th St, in front of Ambulatory Care Pavilion",408,40.71723366,-73.8036028,Thursday,8am-5pm,7/14/2016-11/18/2016,Yes,No,No,No,,,
2016,Queens Hospital Center Farmers' Market II,Queens,"114-02 Guy R Brewer Blvd., Jamaica",412,40.68876005,-73.78567342,Thursday,8am-4pm,7/14/2016-11/18/2016,Yes,No,No,No,,,
2016,Ridgewood Youthmarket,Queens,Cypress Ave bet Myrtle & Putnam Aves,405,40.70037567,-73.90661902,Saturday,8am-4pm,7/9/2016-11/19/2016,Yes,No,No,No,,,
2016,Rockaway Beach Youthmarket,Queens,Beach 58th St & Beach Channel Dr,414,40.59450005,-73.78807882,Saturday,9am-3pm,7/9/2016-11/19/2016,Yes,No,No,No,,,
2016,Socrates Sculpture Park Greenmarket,Queens,"Vernon Blvd & Broadway, inside park",402,40.7677,-73.93618537,Saturday,8am-4pm,6/4/2016-11/19/2016,Yes,No,No,No,,,
2016,Sunnyside Greenmarket,Queens,Skillman Ave bet 42nd & 43rd Sts,402,40.74689899,-73.92079851,Saturday,8am-3pm,Year-round,Yes,Yes,No,No,,,
2016,Skyline Youth Farmers' Market,Staten Island,Clyde Pl bet Prospect & Harvard Aves,501,40.639903,-74.08953,Saturday,9am-12pm,6/25/2016-11/2/2016,No,No,No,No,,,
2016,Snug Harbor Farmers' Market,Staten Island,1000 Richmond Terrace,501,40.642627,-74.101258,Friday,3pm-5pm,6/17/2016-11/18/2016,No,No,No,No,,,
2016,St. George Greenmarket,Staten Island,St. Marks Pl & Hyatt St,501,40.641607,-74.077292,Saturday,8am-2pm,Year-round,Yes,Yes,No,No,,,
